name,description,country,num_servings,total_time_minutes,user_ratings.score,user_ratings.count_positive,user_ratings.count_negative,nutrition.calories,nutrition.protein,nutrition.fat,nutrition.carbohydrates
Low-Carb Avocado Chicken Salad,"This chicken salad is a lunchtime delight! Packed with creamy avocado, tender chicken, and crunchy veggies, it's a healthy and satisfying meal that won't weigh you down. Tossed in a tangy yogurt dressing with a hint of spice, it's a flavor explosion that's perfect for a light meal.",US,4,15,0.9173640167364017,877,79,249.0,29.0,8.0,13.0
Tomato And Anchovy Pasta,"Savor the bold flavors of this Tomato and Anchovy Pasta, a perfect weeknight meal that's both simple and satisfying. With a zesty tomato sauce and umami-packed anchovies, this dish will have your taste buds dancing in no time!",US,4,0,0.8816326530612245,216,29,677.0,24.0,13.0,109.0
Creamy Cajun Pasta,"Say hello to a taste of the bayou with this creamy Cajun pasta! Savory sausage and a bevy of vegetables get a spicy kick with a Cajun-inspired seasoning blend, all tossed in a luscious creamy sauce. Best of all, it all comes together in just one pot for easy prep and clean-up!",US,8,0,0.9615384615384616,150,6,395.0,18.0,24.0,31.0
One-Pot Lemon Garlic Shrimp Pasta,"This easy 30-minute pasta recipe transforms ingredients that you already have in your kitchen into a posh, seafood dish you’ll want to serve at your next dinner party. And since the whole dish is made in a single pot, clean-up is easy. Don’t be surprised if this becomes your favorite quick go-to. ",US,4,30,0.9796846573681018,12924,268,567.0,31.0,28.0,44.0
Chocolate Mug Cake,"This single-serving chocolate mug cake delivers on all counts and surpasses all expections! It's an easy recipe with simple ingredients that yields an incredibly moist, fudgy cake with mouthwatering flavor in every bite. Start by mixing basic pantry staples like flour, sugar, cocoa powder, and milk in your favorite mug. Top with a generous dollop of hazelnut spread, then sit back and watch as this decadent concoction transforms into a gourmet dessert in under two minutes in the microwave. You can whip up this delectable dessert whenever the craving strikes and savor life's little luxuries one spoonful at a time. ",ZZ,1,7,0.8959458535584878,13105,1522,392.0,8.0,9.0,72.0
3-Ingredient Teriyaki Chicken,"Even though this chicken teriyaki dish uses just three ingredients, the flavor is outstanding, and you can't beat the quick cooking time! This effortless weeknight meal starts with browning pieces of boneless chicken thighs in a hot pan. Soy sauce and brown sugar are added, infusing the meat with the perfect balance of sweet and salty. The liquid sizzles and thickens in the pan into a delectable teriyaki sauce that envelops the chicken, ensuring each bite is packed with flavor. Paired with fluffy white rice, this dish goes from stove to table in 30 minutes, proving that minimal effort can yield maximum satisfaction.",US,4,30,0.9037086821042342,14791,1576,467.0,58.0,17.0,20.0
3-Ingredient Peanut Butter Cookies,"Indulge in the simplest yet most satisfying treat with these 3-Ingredient Peanut Butter Cookies. Made with just peanut butter, sugar, and an egg, these cookies are a breeze to whip up, requiring minimal effort and time (under 30 minutes!). Plus, with such basic pantry staples, there's a good chance you have everything you need in your kitchen to make them right now! Gluten-free and utterly delicious, these cookies boast a perfect balance of sweet, savory, and nutty. Whether you're a baking novice or a seasoned pro, these peanut butter cookies are sure to become a quick favorite for any occasion.",ZZ,25,20,0.9128113879003559,10260,980,34.0,1.0,1.0,3.0
Whipped Coffee,"Embark on a caffeinated adventure with whipped coffee, a viral sensation that's taken the world by storm. With just three simple ingredients, you can recreate the magic of a bustling South Korean cafe right in your own kitchen. Mix hot water, sugar, and instant coffee in a bowl, then whisk until the mixture transforms into a cloud-like foam. Spoon the foam over ice-cold milk in a glass and watch the creamy coffee cascade through the milk, creating a mesmerizing swirl of flavors. Whether you're seeking a morning pick-me-up or a delightful afternoon treat, whipped coffee promises to elevate your coffee-drinking ritual to new heights!",US,1,5,0.9147831105126479,9511,886,132.0,1.0,0.0,28.0
Garlic Shrimp Bacon Alfredo,"This garlic bacon shrimp alfredo is the ultimate weeknight indulgence, with succulent shrimp, smoky bacon, and a rich, creamy sauce that will have your taste buds dancing with delight.",US,4,25,0.9769216623758735,10625,251,1016.0,49.0,54.0,96.0
Creamy Chicken Penne Pasta,"If you're in need of a hug in a bowl, this creamy chicken penne pasta is just the ticket. With tender chicken, perfectly cooked pasta, and a velvety sauce, it's pure comfort in a bowl.",US,4,30,0.9773986063962837,10941,253,477.0,33.0,28.0,27.0
Easy One-Pot Mac ‘n’ Cheese,"This easy mac and cheese is a quick and delicious dinner option for busy weeknights! Elbow macaroni is cooked right in the same pot with milk, butter, and Cheddar cheese, resulting in a creamy and comforting dish that's sure to please everyone. Add in some chopped bacon or cooked veggies for a twist on the classic recipe, or enjoy it as-is for a simple and satisfying meal.",US,6,20,0.8757991948851528,7397,1049,865.0,33.0,47.0,71.0
